Le regole|0|1|0
- Puoi provare ad indovinare 2 numeri, un numero base di 1 dado ed una somma di 2 dadi|0|1|0
- Indovina il numero base di un |0|0|0
Dadospera|2|0|0
, ottieni |0|0|0
pABLO|1|0|0
 punti, indovina una somma di 2 e ne otterrai |0|0|0
pABLO|1|0|0
 , indovina ambo e ne otterrai |0|0|0
pABLO|1|1|0
- Volendo, puoi invece provare ad indovinare un altro numero base, ma in quel caso non otterrai più punti|0|1|0
- Hai a disposizione 2 dadi |0|0|0
 Osperà|2|0|0
  che possono aiutarti, ma il loro punteggio è |0|0|0
ridotto|3|0|0
, rispettivamente dando |0|0|0
pABLO|1|0|0
 e |0|0|0
pABLO|1|1|0
- Li puoi rivelare anche se hai indovinato, ma far ciò |0|0|0
dimezzerà|1|0|0
 i punti ottenuti prima di rivelare |0|0|0
 Osperà|2|1|0
- Se per caso nei |0|0|0
Dadispera|3|0|0
 son presenti dei doppi, indovinando la somma di essi si otterrà |0|0|0
pABLO|1|0|0
, se si indovina il punto base, allora invece si otterrà |0|0|0
pABLO|1|1|0
- La stessa regola si applica ai |0|0|0
dadi Osperà|2|0|0
: rispettivamente |0|0|0
pABLO|1|0|0
 per la somma e |0|0|0
pABLO|1|0|0
 per il base|0|1|0
